id,name,email,birth_date,location
182,abna,abna@gmail.com,2022-01-14,sss
415,anjuu,anjuu@gmail.com,2022-01-14,sss
416,anagha,anagha@gmail.com,2022-01-14,sss
417,abna,abna@gmail.com,2022-01-14,sss
418,anjuu,anjuu@gmail.com,2022-01-14,sss
419,anagha,anagha@gmail.com,2022-01-14,sss
420,jahana,abna@gmail.com,2022-01-14,sss
421,aswin,anjuu@gmail.com,2022-01-14,sss
422,sanshya,anagha@gmail.com,2022-01-14,sss
423,anjuu,abna@gmail.com,2022-01-14,sss
424,annan,anjuu@gmail.com,2022-01-14,sss
419,jahana,anagha@gmail.com,2022-01-14,sss
